Title	Price	City	Location	Microlocation	Street	Type	Area	Rooms	Poster	Heating	Furnished	Floor	FloorTotal	PaymentType	Additional	Other	Description	PostingId	PostingDate
Ekskluzivan stan sa parkingom – Kneza Danila	1.900 €	Beograd	Opština Palilula	Centar	Kneza Danila	stan	115 m2	3.0	Agencija	CG	namešteno	1			['Odmah useljiv']	['Terasa', 'Klima', 'Lift', 'Telefon', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Garaža', 'Parking']	Izdajemo izuzetno luksuzan i komforan stan u ulici Kneza Danila, na jednoj od najtraženijih lokacija u gradu. Stan se nalazi na prvom spratu moderne novogradnje i prostire se na ukupnoj površini od 115 m².  Stan je izuzetno funkcionalnog rasporeda i sastoji se od prostranog dnevnog boravka sa trpezarijom, dve komforne spavaće sobe, dva moderno opremljena kupatila, kao i dve terase koje pružaju dodatni komfor i privatnost. Uz stan dolazi i ostava, kao i jedno pripadajuće parking mesto.  Enterijer je luksuzno i pažljivo opremljen skupocenim nameštajem, sa posebnim akcentom na kvalitet materijala, dizajn i detalje. Stan je u potpunosti namešten i spreman za useljenje, idealan za one koji traže visok standard stanovanja u prestižnom okruženju.  Odlična lokacija omogućava brz pristup centru grada, diplomatskim predstavništvima, školama, restoranima i svim važnim sadržajima, a istovremeno obezbeđuje mir i privatnost.  Za sve informacije pozovite. Agencijska provizija iznpsi 50% od cene prve mesečne zakupnine.  We are offering for rent an exceptionally luxurious and comfortable apartment located on Kneza Danila Street, one of the most sought-after areas in the city. The apartment is situated on the first floor of a modern newly built building and has a total surface area of 115 m².  The layout is highly functional and includes a spacious living room with a dining area, two comfortable bedrooms, two modernly equipped bathrooms, and two terraces that provide additional comfort and privacy. The apartment also comes with a storage room and one designated parking space.  The interior is luxuriously and carefully furnished with high-end furniture, with a strong emphasis on quality materials, design, and refined details. The apartment is fully furnished and move-in ready, making it ideal for tenants seeking a high standard of living in a prestigious setting.  The excellent location offers quick access to the city center, diplomatic missions, schools, restaurants, and all essential amenities, while still ensuring peace and privacy.  For more information, please contact us. Agency fee is 50% of the first month’s rent.	5425646748285	02.03.2026. u 15:16
Crveni krst, novogradnja, odličan, ID 17404	550 €	Beograd	Opština Vračar	Crveni krst	Metohijska	stan	34 m2	1.5	Agencija	EG	namešteno	VPR	6	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit']	['Klima', 'Lift', 'Telefon', 'KATV', 'Internet', 'Interfon', 'Video nadzor']	Funkcionalan stan u luksuznoj novogradnji, kompletno opremljen, odvojena spavaća soba, video nadzor. Agencijska provizija za zakupca se plaća u iznosu od 50%+ PDV dogovorene jednomesečne zakupnine za period zakupa u trajanju do 12 meseci	5425644327203	02.03.2026. u 15:14
Izdaje se trosoban duplex stan 102 m² – Mirijevo,	700 €	Beograd	Opština Zvezdara	Mirijevo	Rableova	stan	102 m2	3.0	Agencija	CG	namešteno	2	2	mesečno	['Odmah useljiv', 'Depozit', 'Za pušače', 'Za nepušače', 'Za studente', 'Duplex']	['Francuski balkon', 'Klima', 'KATV', 'Internet', 'Interfon']	Izdaje se trosoban stan – Mirijevo (Zvezdar) Izdaje se funkcionalan trosoban duplex stan površine 102 m², u manjoj stambenoj zgradi u centralnom delu Mirijeva. Odlična lokacija – u blizini vrtića, marketa i doma zdravlja. Idealno za porodice. Struktura stana: Donji nivo: prostrana dnevna soba sa trpezarijom, kuhinja, kupatilo Gornji nivo: dve spavaće sobe, kupatilo Stan se nalazi na 2. spratu Oprema i pogodnosti: Potpuno namešten Centralno (gradsko) grejanje Klima uređaj, TV, veš mašina Kuhinjski elementi, frižider, šporet, rerna Kreveti i plakari Interfon Internet i kablovska (kablovski internet) Dozvoljeni kućni ljubimci Parking: Javni parking ispred zgrade (van zone naplate) Troškovi: Mesečni troškovi oko 20.000 RSD tokom cele godine Depozit u visini jedne mesečne kirije Prevoz: Autobuske linije: 27, 27E, 46, 79, ADA4 Stan se izdaje isključivo ozbiljnim zakupcima, na duži vremenski period. Kontakt: Đorđe – +381 64 822 9993 ℹ️ Napomena: Agencijska provizija iznosi 50% od prve mesečne zakupnine.	5425646719142	02.03.2026. u 15:11
Fontana, Blok 3	500 €	Beograd	Opština Novi Beograd	Fontana	Studentska	stan	58 m2	1.5	Agencija	CG	namešteno	1	9	mesečno	['Odmah useljiv', 'Depozit']	['Terasa', 'Klima', 'Lift', 'KATV']	Stan je uknjižen na 50m2 korisne površine, mereno je 58m2 sa terasom. Stan je namešten i kompletno renoviran. Blind vrata, pvc stolarija, renovirano kupatilo i kuhinja (zamenjene elektro i vodovodne instalacije). Stan se nalazi u blizini svih sadržaja neophodnih za kvalitetan život. Nije dozvoljeno držanje kućnih ljubimaca. Stan je za svaku preporuku. Prostorije: hodnik, dnevna soba, spavaća soba, kuhinja sa trpezarijom, kupatilo, ostava, terasa Agencijska provizija se plaća u iznosu 50% + pdv od dogovorene jednomesečne zakupnine.	5425646747102	02.03.2026. u 15:05
Prostran, renoviran 2.0 stan, centar, ID 3690	600 €	Beograd	Opština Stari grad	Centar		stan	54 m2	2.0	Agencija	EG	namešteno	3		mesečno	['Odmah useljiv', 'Depozit']	['Terasa', 'Klima', 'KATV', 'Internet', 'Interfon']	Svetao, prostran i renoviran 2.0 stan koji se nalazi u samom centru grada, minut hoda od glavne pešačke zone. Bright, spacious, and renovated one-bedroom apartment (2.0 layout) located in the very city center, just a minute's walk from the main pedestrian zone. ID 3690	5425644503340	02.03.2026. u 15:01
Kapije Vračara, lux 3.0 stan sa garažom, ID 8806	1.100 €	Beograd	Opština Vračar	Južni bulevar		stan	77 m2	3.0	Agencija	CG	namešteno	4	6	mesečno	['Odmah useljiv', 'Depozit']	['Lift', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Garaža']	Nov, moderno opremljen stan sa dve spavaće i garažom u kompleksu Kapije Vračara. New, modernly furnished two-bedroom apartment with a garage in the Kapije Vračara complex. ID 8806	5425645243758	02.03.2026. u 15:01
Ekskluzivan- nov, 3.0 stan, 74 m2 garaža – opcija	1.300 €	Beograd	Opština Voždovac	Lekino brdo	Kolašinska	stan	74,30 m2	3.0	Vlasnik	CG	namešteno	1	4	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit', 'Za pušače']	['Terasa', 'Francuski balkon', 'Klima', 'Lift', 'Podrum', 'Topla voda', 'Telefon', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Kamin', 'Garaža', 'Parking']	Izdaje se ODMAH USELJIV, nov, potpuno opremljen, 3.0 stan na 1. spratu tek useljene zgrade. Stan je dodatno opreman po želji vlasnika(custom made) i poseduje: - Grejanje podne keramike - Mrežno kabliranje internet veze u svim sobama - Italijanska keramika 1. Klase (master i gostinsko kupatilo) - 6 komorna pvc stolarija sa elektro roletnama - 2 klima uređa (AC unit) - Beko i Gorenje ugradna tehnika - TV 55“ QLED - Ambijentalna LED rasveta - vinoteka  Sam stan je dvostrano orijentisan, južno pozicioniran sa velikim prozorima izuzetno svetao i sastoji se od ulasnog hodnika, zasebne vesernice, dnevne sobe, kuhinje sa trpezarijom, terase, 2 spavaće sobe i 2 kupatila, pravljen da pruži maksimalan konfor i višečlanoj porodici.Na samom vrhu Lekinog Brda u izuzeno mirnoj ulici. Blizina parka Šumice, škola, marketa,teretana bazena, gradskog prevoza, odlična povezanost sa svim delovima grada I autoputem čini ovaj stan idealnim. Nikad useljavan do sada.  Po želji zakupca, moguće je i uneti ili izneti određen komad nameštaja i eventualno spavaću sobu pretvoriti u radnu. U cenu je uracunato 1x meseno generalno ciscenje stana.  Grejanje je centralno, plaćanje po potrošnji (ugrađeni kalorimetri) te stoga ukupni troškovi održavanja variraju do 100-150 e(bez interneta) zavisno za koji se paket interneta zakupac opredeli. Garazno mesto se doplacuje 100€ (nije uključeno u cenu) Obavezan depozit	5425644551123	02.03.2026. u 14:59
Iznajmljujem stan	400 €	Beograd	Opština Voždovac	Dušanovac	Lermontova	stan	35 m2	1.0	Vlasnik	CG	namešteno	5	18	mesečno	['Odmah useljiv', 'Depozit', 'Za pušače', 'Dozvoljeni kućni ljubimci']	['Klima', 'Lift', 'KATV', 'Internet', 'Interfon', 'Parking']	Iznajmljujemo jednosoban stan  , namešten , na duže vreme! Stan slobodan od 1.04.!	5425646838335	02.03.2026. u 14:37
A blok, lux penthouse, garaža, ID 10000	2.000 €	Beograd	Opština Novi Beograd	Blok 67a (A blok)	Jurija Gagarina	stan	90 m2	3.0	Agencija	CG	namešteno	9		mesečno	['Nije poslednji sprat', 'Nije stan u kući', 'Depozit', 'Penthouse']	['Terasa', 'Klima', 'Lift', 'Telefon', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Garaža', 'Parking']	Komforan, veoma luksuzno sređen stan u novogradnji, III faza naselja A blok, sa prelepim pogledom, dvostrano orijentisan dnevni boravak kompletno okružena staklenim površinama, trpezarija, šankom odvojena kuhinja, dve spavaće sobe, dva kupatila, prostrana terasa. Grejanje je centralno, po potrošnji, dok je u kupatilima podno grejanje. Postoji mogućnost zakupa dva garažna mesta za eketro punjačima uz doplatu, zgrada sa dva lifta, recepcijom i fizičko-tehničkim obezbeđenjem 24/7. Useljiv od 15. marta 2026. godine Agencijska provizija za zakupca se plaća u iznosu od 50% + PDV dogovorene jednomesečne zakupnine za period zakupa u trajanju do 12 meseci	5425643371112	02.03.2026. u 14:27
Borča-nov lep namesten stan,kod Skroz Dobre Pekare	320 €	Beograd	Opština Palilula	Borča	Save Mrkalja 30	stan	40 m2	1.5	Vlasnik	TA	namešteno	2	2		['Odmah useljiv']	['Francuski balkon', 'Klima', 'KATV', 'Internet', 'Interfon']	Kompletno namesten i ekonomican stan sa dve sobe na vrlo lepoj lokaciji u Borci, u zgradi u ulici Save Mrkalja, u zgradi od Skroz Dobre Pekare odmah ka pijaci, samom centru Borce. Nov namestaj: LCD TV, klima klasa A za grejanje i hladjenje sa malom potrosnjom struje, ves masina itd. Stan ima lepu ugaonu garnituru i bracni krevet Stan je vrlo topao i veoma lako se greje sa klimom koja trosi malo struje. Opticki Internet i KATV (odlican paket Supernove). Ukupni troskovi za KATV, Internet i Infostan su 2500din. Struja je koliko se potrosi. U cenu stana je ukljuceno kompletno odrzavanje elektricnih uredjaja ili majstora ukoliko se ukaze potreba. Stan se nalazi oko 100m od stanice 95, 96 i 85. Useljiv odmah	5425644713602	02.03.2026. u 14:24
Renoviran 2.0 stan, na odličnoj lokaciji ID#12992	590 €	Beograd	Opština Čukarica	Banovo brdo	Blagoja Parovića	stan	46 m2	2.0	Agencija	EG	polunamešteno	1	4	mesečno	['Nije poslednji sprat', 'Depozit']	['Terasa', 'Klima', 'Internet', 'Interfon', 'Parking']	"Predstavljamo vam izuzetan dvosoban stan u potpunosti renoviran, koji spaja moderan dizajn, funkcionalnost i izvanrednu lokaciju. Stan se izdaje polunamešten sa kompletnom belom tehnikom vrhunskog kvaliteta koja obuhvata frižider, šporet sa rernom, mašinu za pranje veša, mašinu za pranje sudova, ugradne ormare u svim prostorijama . Poseban akcenat stavljen je na komfor stanovanja kroz dve klime koje obezbeđuju idealnu temperaturu tokom cele godine, dok novi radijatori sa mogućnošću individualnog obračuna grejanja doprinose ekonomičnosti. Prostrana terasa pruža idealan prostor za opuštanje i uživanje, dok optički internet, koji dolazi sa bonusom od 6 meseci besplatnog korišćenja, omogućava nesmetanu povezanost. Parking mesto ispred zgrade sa rampom i katancem rezervisano je isključivo za stanare, što garantuje sigurnost i praktičnost. Lokacija nekretnine je izuzetna, u neposrednoj blizini bioskopa Roda, sa odličnom saobraćajnom povezanošću i svim neophodnim sadržajima u okruženju - škole, vrtići, zdravstvene ustanove i tržni centri nalaze se na dohvat ruke. Agencijska provizija 50% vrednosti jedne mesečne zakupnine Agent: Jasna Šnajder, br. licence: 2844 ""Art nekretnine"" d.o.o. Beograd, reg. br. 339 011/26-20-734 GJ02 ."	5425646828272	02.03.2026. u 14:21
Trg Republike, prazan stan salonac ID#13598	750 €	Beograd	Opština Stari grad	Dorćol	Francuska	stan	44 m2	2.0	Agencija	CG	prazno	PR	2	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Depozit']	['Klima']	"Prazan stan-salonac u Francuskoj ulici - Trg Republike Izdaje se stan od 44 m2, smešten u prizemlju predratne zgrade u Francuskoj ulici, na samo 200 m od Trga Republike. Prostor se sastoji od: malog ulaznog hodnika, dva odvojena mokra čvora – kupatilo i toalet, i još dve prostorije sa visokim plafonima: sobe i trpezarijsko-kuhinjskog dela sa potpuno novom, modernom kuhinjom. Zgrada je impozantne predratne arhitekture, kompletno renovirana, sa zajedničkim dvorištem. Glavne prednosti lokacije: • Neponovljiva adresa – Francuska ulica i blizina svih gradskih dešavanja i sadržaja • Izvanredna povezanost – blizina stanica gradskih linija za sve delove grada Prostor je spreman za useljenje i može se prilagoditi specifičnim potrebama zakupca. Idealna prilika za one koji traže prazan, prostran i funkcionalan stan u srcu grada sa izuzetnom povezanošću. Agencijska provizija 50% od prve rente. Agent: Jasna Šnajder, br. licence: 2844 ""Art nekretnine"" d.o.o. Beograd Reg. br. 339 011/26-20-734 SD02 ."	5425646652139	02.03.2026. u 14:21
Funkcionalan, idealan za stanovanje ili p. prostor	600 €	Beograd	Opština Novi Beograd	Blok 30 (B92)	Bulevar Mihajla Pupina	stan	64 m2	2.5	Agencija	CG	prazno	1	9	mesečno	['Nije poslednji sprat', 'Depozit']	['Terasa', 'Lift', 'Interfon']	"Izdaje se funkcionalan i izuzetno svetao stan površine 64m², smešten u mirnoj stambenoj zgradi. Prostor je pogodan kako za stanovanje, tako i za poslovni prostor, zahvaljujući dobroj organizaciji i odvojenim celinama. Lokacija pruža savršenu ravnotežu između tišine neophodne za život ili rad i odlične povezanosti sa gradom – autobusko stajalište je udaljeno svega nekoliko minuta hoda. Pored dostupne 3. parking zone, u neposrednoj blizini zgrade nalaze se i besplatna parking mesta, što predstavlja značajnu prednost za poslovne korisnike. Nekretnina je spremna za useljenje. Sastoji se od: tri sobe (pogodne i za kancelarije), prostrane kuhinje, ostave, kupatila i velike terase koja dodatno doprinosi svetlosti i komforu prostora. Idealan izbor za firme, IT timove, ali i za one koji traže komforan stan na traženoj lokaciji Novog Beograda. Agencijska provizija 50% vrednosti jedne mesečne zakupnine. Agent: Jasna Šnajder, br. licence: 2844 ""Art nekretnine"" d.o.o. Beograd, reg. br. 339 011/26-20-734 SDO2 ."	5425646703107	02.03.2026. u 14:21
Renoviran prazan stan za izdavanje u Bloku 21, 6 k	700 €	Beograd	Opština Novi Beograd	Blok 21	Bulevar Mihajla Pupina	stan	63 m2	3.0	Agencija	CG	prazno	3	17	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Depozit']	['Terasa', 'Lift', 'Interfon']	"Renoviran prazan stan za izdavanje u Bloku 21, Novi Beograd – 6 kaplara 63 m2 Izdaje se funkcionalan i svetao stan od 63 m2, smešten u stambenoj zgradi (soliter ""6 kaplara"") u Bloku 21 na Novom Beogradu. Stan se izdaje polunamešten ili prazan – idealno za stanovanje ili poslovni prostor. Po strukturi je trosoban, sa dve terase. Sastoji se od: ulaznog hodnika, prostrane dnevne sobe sa malom terasom, trpezarije spojene sa dnevnim boravkom i kompletno opremljene kuhinje. Tu su i dva mokra čvora – kupatilo i manji toalet, kao i prostrana spavaća soba sa zastakljenom terasom i manja soba sa ugradnim plakarom. Lokacija nudi odličnu povezanost sa gradom – samo nekoliko minuta hoda od autobuske stanice. TC Ušće – na 2 minuta hoda Šetališta uz Savu i Dunav – na 5 minuta hoda Centar – 15 minuta peške (preko Brankovog mosta) ili 3 minuta kolima Autoput – na 3 minuta kolima U bloku i okolini nalazi se mnoštvo sadržaja: TC Ušće, igrališta, park Ušće, kafići, restorani, vinarije, SC Arena, kao i svi neophodni objekti za svakodnevno funkcionisanje – prodavnice, Maxi, pijaca, pošta, banke. Stan je odmah useljiv. Agencijska provizija 50% vrednosti jedne mesečne zakupnine Agent: Jasna Šnajder, br. licence: 2844 ""Art nekretnine"" d.o.o. Beograd Reg. br. 339 011/26-20-734 SD02 ."	5425646823180	02.03.2026. u 14:20
2.5 stan na Čukaričkoj padini ID#14222	750 €	Beograd	Opština Čukarica	Čukarička padina	Radnička	stan	62 m2	2.5	Agencija	CG	namešteno	1	7	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Depozit', 'Dozvoljeni kućni ljubimci']	['Lift', 'Internet', 'Video nadzor']	"Dvoiposoban stan, potpuno opremljen i namešten, odmah useljiv Izdaje se dvoiposoban stan na Čukaričkoj padini. Stan se sastoji od dnevne sobe sa trpezarijskim delom, dve spavaće sobe, kuhinje sa pultom za ručavanje, kupatila, ostave i hodnika. Kompletno renoviran, sa velikim staklenim površinama i izuzetnom osvetljenošću. Opremljen je sa ugradnim ormarima, kuhinjom po meri, mašinom za sudove, mikrotalasnom i aparatom za kafu, novim kupatilom sa mašinom za pranje veša, alu stolarijom sa elektro roletnama i komarnicima, dva klima uređaja, LED rasvetom i SBB internetom i kablovskom televizijom. Stan se nalazi neposredno pored Ada Mall-a, direktno preko puta Ada Ciganlije. U pešačkoj dostupnosti Lidl i Tempo. Stan je pet friendly. Agencijska provizija 50% vrednosti jedne mesečne zakupnine. Agent: Jasna Šnajder, br. licence: 2844 ""Art nekretnine"" d.o.o. Beograd Reg. br.339 011/26-20-734 GJ02 ."	5425646826354	02.03.2026. u 14:20
Big residences, stan sa garažnim mestom ID#14227	1.100 €	Beograd	Opština Palilula	Karaburma	Diljska	stan	69 m2	3.0	Agencija	CG	namešteno	5	7	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Depozit']	['Terasa', 'Klima', 'Lift', 'Interfon', 'Video nadzor', 'Garaža']	Izdaje se namešten stan na odličnoj lokaciji u kompleksu Big residences. Sastoji se iz ulaznog hodnika,dnevnog boravka sa kuhinjsko trpezarijskim delom,dva kupatila,dve sobe od kojih će manja biti opremljena po želji zakupca i terase. Mesečni troškovi niski,grejanje je centralno na kalorimetre i plaća se po potrošnji.Mikrolokacija izuzetna,blizina svih sadržaja za svakodnevni život. Odlična povezanost javnim prevozom sa svim delovima grada. Kućni ljubimci nisu dozvoljeni. U zakupninu uračunato garažno mesto u okviru samog kompleksa. Agencijska provizija 50% vrednosti jedne mesečne zakupnine Agent: Miloš Graora br. licence 4996 Art nekretnine d.o.o. Beograd. Reg. br.339 011/26-20-734 MG06 .	5425646828238	02.03.2026. u 14:20
West Tower, veoma luksuzan stan. ID 24778	2.000 €	Beograd	Opština Novi Beograd	Blok 65	Omladinskih brigada	stan	94 m2	3.0	Agencija	CG	namešteno	18		mesečno	['Nije poslednji sprat', 'Nije stan u kući', 'Depozit']	['Klima', 'Lift', 'Telefon', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Garaža', 'Parking']	U ponudi je stan na prestižnoj lokaciji, u okviru naselja West 65, u ekskluzivnoj zgradi West Tower. Ovaj luksuzni poslovno-stambeni objekat obezbeđuje život po najvišim standardima, pružajući mogućnosti za lagodan život ispunjen obiljem sadržaja. Zgrada ima 40 spratova sa panoramskim pogledom ka svim delovima grada. U zgradu je omogućen ulazak samo stanarima koji poseduju kartice, a isti mogu uživati u uslugama SPA centra sa bazenom dužine 20m, ispunjenim termalnom vodom, đakuzijem, turskim kupatilom, saunom, teretanom. Pored pomenutog SPA centra, tu je i frizersko-kozmetički salon, bioskop, kao i direktan pristup iz zgrade u mall. Sam objekat obezbeđen je po najvišim kriterijumima i pruža visok nivo sigurnosti samih stanara. U ponudi je veoma je komforan stan, poseduje dve spavaće sobe, dva kupatila. Luksuzno je sređen, opremljen kvalitetnim nameštajem i tehnikom. Zahvaljujući velikim staklenim površinama, obezbeđeno je puno dnevne sunčeve svetlosti, kao i prelep pogled. Grejanje je na gas, a klimatizacija centralna. Garažno mesto uz doplatu 100 eur. Useljiv od 20. aprila 2026. godine Agencijska provizija za zakupca se plaća u iznosu od 50% + PDV dogovorene jednomesečne zakupnine za period zakupa u trajanju do 12 meseci	5425646837007	02.03.2026. u 14:20
Beograd na vodi, BW Eterna, 3.0. LUX, Useljiv	1.700 €	Beograd	Opština Savski venac	Beograd na vodi	Luke Ćelovića Trebinjca	stan	73 m2	3.5	Agencija	CG	namešteno	5	8		['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit']	['Terasa', 'Klima', 'Lift', 'Topla voda', 'Telefon', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Garaža', 'Parking']	U prilici smo da vam ponudimo izuzetan trosoban stan u zgradi BW Eterna.. Stan se nalazi na trećem spratu i strukturno je trosoban. Sastoji se od: ulaznog hodnika, prostrane dnevne sobe koja izlazi na terasu, kuhinje sa trpezarijom, 2 spavaće sobe, 2 kupatila sa tuš kabinom i vešernice. Stan je izuzetno prostran i svetao i moderno opremljen. Uz stan se izdaje i jedno parking mesto koje se nalazi u garaži u sklopu same zgrade. Zgrada je smeštena nadomak tržnog centra Galerije, Savskog parka kao i Savske ulice. BW Eterna je zgrada od 8 spratova i projektovana je da zadovolji sve kriterijume ekskluzivnosti i udobnosti. Depozit u visini jedne mesečne kirije je obavezan. Agencijska provizija iznosi 50 % od prve mesečne zakupnine. Za više informacija slobodno nas kontaktirajte. 0637847903 0694923411	5425646838333	02.03.2026. u 14:17
